ID,Survey,S,Survey_2,S_2,Dist
30656,2014,281.505,2015,283.252,1.747
30695,2014,280.441,2015,446.202,165.761
84812,2014,397.941,2015,456.254,58.313
84818,2014,43.533,2015,76.562,33.029
84820,2014,420.409,2015,421.083,0.674
84821,2014,419.483,2015,420.518,1.035
84822,2014,487.235,2015,487.708,0.473
84826,2014,282.919,2015,293.386,10.467
84827,2014,278.417,2015,386.675,108.258
84828,2014,220.484,2015,220.234,0
84831,2014,363.969,2015,364.577,0.608
84833,2014,79.072,2015,79.64,0.568
84835,2014,206.251,2015,648.404,442.153
84836,2014,287.249,2015,427.704,140.455
84842,2014,289.325,2015,290.058,0.733
84844,2014,396.127,2015,462.883,66.756
84847,2014,209.548,2015,209.899,0.351
84848,2014,271.117,2015,281.315,10.198
84849,2014,187.017,2015,186.36,0
84854,2014,228.117,2015,285.802,57.685
84860,2014,482.063,2015,481.927,0
84861,2014,480.54,2015,480.54,0
84862,2014,490.327,2015,491.638,1.311
84864,2014,278.726,2015,282.481,3.755
84867,2014,210.33,2015,210.78,0.45
84870,2014,189.086,2015,222.266,33.18
84871,2014,618.809,2015,835.547,216.738
84872,2014,397.873,2015,827.934,430.061
84873,2014,317.259,2015,400.232,82.973
84874,2014,289.325,2015,394.075,104.75
84880,2014,230.921,2015,231.012,0.091
84881,2014,368.65,2015,369.645,0.995
84884,2014,218.506,2015,218.807,0.301
84885,2014,132.754,2015,274.092,141.338
84890,2014,693.08,2015,789.433,96.353
84891,2014,286.71,2015,287.718,1.008
84893,2014,357.284,2015,357.434,0.15
84894,2014,284.369,2015,283.987,0
84897,2014,176.436,2015,176.334,0
84898,2014,192.769,2015,192.597,0
84902,2014,378.464,2015,378.723,0.259
84903,2014,164.895,2015,228.363,63.468
84904,2014,223.387,2015,223.723,0.336
84905,2014,287.649,2015,331.488,43.839
84908,2014,217.352,2015,216.722,0
84911,2014,371.138,2015,404.129,32.991
84912,2014,190.337,2015,184.428,0
84913,2014,206.721,2015,206.811,0.09
84915,2014,378.291,2015,658.57,280.279
84916,2014,280.646,2015,421.287,140.641
84917,2014,214.377,2015,218.234,3.857
84920,2014,218.506,2015,218.234,0
84921,2014,418.475,2015,418.883,0.408
84922,2014,188.254,2015,188.217,0
84924,2014,225.725,2015,261.548,35.823
84925,2014,220.863,2015,220.214,0
84926,2014,488.845,2015,487.545,0
84927,2014,275.674,2015,283.29,7.616
84928,2014,178.049,2015,178.28,0.231
84930,2014,28.943,2015,29.001,0.058
84931,2014,181.432,2015,180.983,0
84932,2014,188.157,2015,187.614,0
84934,2014,189.373,2015,192.293,2.92
84935,2014,280.398,2015,286.182,5.784
84936,2014,280.285,2015,281.595,1.31
84942,2014,223.021,2015,225.956,2.935
84945,2014,488.466,2015,710.061,221.595
84946,2014,473.989,2015,577.392,103.403
84947,2014,48.518,2015,47.939,0
84948,2014,188.157,2015,187.614,0
84951,2014,191.747,2015,193.203,1.456
84955,2014,241.604,2015,320.002,78.398
84956,2014,388.815,2015,389.5,0.685
84958,2014,214.632,2015,220.494,5.862
84959,2014,75.404,2015,475.713,400.309
84960,2014,669.039,2015,742.574,73.535
84961,2014,519.088,2015,816.971,297.883
84962,2014,186.954,2015,186.186,0
84963,2014,381.154,2015,481.9,100.746
84964,2014,225.195,2015,438.132,212.937
84966,2014,201.711,2015,202.615,0.904
84967,2014,188.29,2015,188.724,0.434
84968,2014,226.256,2015,319.684,93.428
84970,2014,141.768,2015,229.046,87.278
84971,2014,197.887,2015,197.963,0.076
84972,2014,723.95,2015,805.14,81.19
84973,2014,280.215,2015,280.776,0.561
84974,2014,526.112,2015,772.025,245.913
84975,2014,290.431,2015,397.024,106.593
84977,2014,287.191,2015,285.146,0
84980,2014,181.126,2015,179.757,0
84984,2014,412.861,2015,412.528,0
84985,2014,83.284,2015,28.016,0
84986,2014,520.305,2015,782.185,261.88
84987,2014,399.079,2015,399.359,0.28
84991,2014,280.441,2015,350.705,70.264
84992,2014,289.947,2015,370.483,80.536
84993,2014,800.868,2015,798.974,0
84996,2014,63.096,2015,63.248,0.152
84997,2014,105.207,2015,103.033,0
84999,2014,411.405,2015,536.037,124.632
85000,2014,629.983,2015,630.626,0.643
85001,2014,284.378,2015,283.951,0
85003,2014,221.412,2015,221.473,0.061
85005,2014,356.962,2015,462.037,105.075
85007,2014,547.05,2015,579.516,32.466
85008,2014,23.389,2015,23.437,0.048
85009,2014,32.091,2015,32.132,0.041
85011,2014,287.484,2015,405.249,117.765
85012,2014,278.417,2015,394.163,115.746
85013,2014,7.214,2015,244.974,237.76
85014,2014,532.634,2015,533.217,0.583
85017,2014,222.213,2015,285.146,62.933
85019,2014,507.893,2015,523.962,16.069
85020,2014,221.483,2015,221.34,0
85021,2014,221.034,2015,221.473,0.439
85022,2014,161.93,2015,161.625,0
85024,2014,247.501,2015,246.778,0
85028,2014,332.742,2015,334.402,1.66
85031,2014,282.352,2015,451.602,169.25
85037,2014,73.257,2015,73.224,0
85046,2014,24.443,2015,24.999,0.556
85047,2014,335.147,2015,667.956,332.809
85050,2014,399.639,2015,400.117,0.478
85052,2014,379.09,2015,387.29,8.2
85055,2014,132.905,2015,132.653,0
85058,2014,213.375,2015,213.601,0.226
85060,2014,363.206,2015,362.779,0
85062,2014,139.651,2015,159.726,20.075
85063,2014,22.74,2015,126.787,104.047
85064,2014,183.916,2015,201.934,18.018
85067,2014,26.647,2015,27.052,0.405
85068,2014,309.335,2015,308.68,0
85069,2014,187.119,2015,186.653,0
85073,2014,487.491,2015,488.385,0.894
85074,2014,220.953,2015,220.823,0
85075,2014,227.374,2015,228.449,1.075
85077,2014,218.418,2015,218.982,0.564
85079,2014,226.478,2015,226.025,0
85085,2014,189.798,2015,189.038,0
85086,2014,88.13,2015,274.048,185.918
85089,2014,40.187,2015,41.296,1.109
85090,2014,501.841,2015,501.712,0
85092,2014,189.798,2015,191.684,1.886
85093,2014,245.943,2015,246.152,0.209
85095,2014,69.032,2015,212.692,143.66
85098,2014,805.186,2015,803.409,0
85099,2014,191.055,2015,192.167,1.112
85101,2014,489.333,2015,490.01,0.677
85103,2014,203.989,2015,204.314,0.325
85106,2014,191.705,2015,192.678,0.973
85107,2014,288.021,2015,403.985,115.964
85108,2014,60.487,2015,60.385,0
85109,2014,188.181,2015,188.071,0
85110,2014,275.771,2015,403.392,127.621
85112,2014,122.507,2015,192.481,69.974
85113,2014,734.565,2015,735.087,0.522
85114,2014,612.54,2015,842.649,230.109
85115,2014,300.934,2015,301.161,0.227
85116,2014,342.292,2015,341.759,0
85118,2014,327.797,2015,409.685,81.888
85120,2014,544.946,2015,806.37,261.424
85121,2014,397.075,2015,396.784,0
85122,2014,291.167,2015,311.577,20.41
85125,2014,186.941,2015,186.48,0
85126,2014,395.729,2015,395.262,0
85127,2014,209.789,2015,210.019,0.23
85128,2014,443.912,2015,776.953,333.041
85129,2014,769.736,2015,773.884,4.148
85130,2014,211.32,2015,211.659,0.339
85131,2014,156.591,2015,155.802,0
85132,2014,414.235,2015,413.68,0
85134,2014,280.273,2015,280.527,0.254
85138,2014,181.661,2015,180.426,0
85139,2014,164.743,2015,164.496,0
85140,2014,229.185,2015,244.586,15.401
85141,2014,189.798,2015,189.798,0
85142,2014,90.512,2015,235.918,145.406
85143,2014,499.101,2015,786.523,287.422
85144,2014,224.502,2015,247.315,22.813
85145,2014,283.242,2015,426.497,143.255
85147,2014,437.589,2015,437.395,0
85149,2014,147.677,2015,214.054,66.377
85150,2014,288.072,2015,292.47,4.398
85151,2014,436.797,2015,639.638,202.841
85153,2014,95.056,2015,110.985,15.929
85154,2014,149.985,2015,148.339,0
85155,2014,288.975,2015,288.851,0
85156,2014,230.598,2015,230.779,0.181
85157,2014,184.694,2015,185.706,1.012
85159,2014,735.013,2015,816.971,81.958
85160,2014,269.067,2015,268.984,0
85162,2014,297.185,2015,296.229,0
85167,2014,328.78,2015,329.526,0.746
85168,2014,489.847,2015,778.669,288.822
85169,2014,398.195,2015,397.516,0
85170,2014,185.706,2015,395.141,209.435
85171,2014,220.943,2015,304.029,83.086
85172,2014,300.934,2015,305.311,4.377
85174,2014,393.691,2015,392.636,0
85176,2014,226.813,2015,230.275,3.462
85177,2014,212.643,2015,394.39,181.747
85178,2014,118.814,2015,118.175,0
85179,2014,254.432,2015,253.158,0
85181,2014,181.661,2015,180.426,0
85183,2014,396.317,2015,396.265,0
85184,2014,226.141,2015,226.164,0.023
85185,2014,192.981,2015,193.142,0.161
85186,2014,435.313,2015,825.683,390.37
85187,2014,219.346,2015,219.65,0.304
85188,2014,283.214,2015,282.481,0
85189,2014,601.143,2015,761.632,160.489
85191,2014,139.858,2015,138.935,0
85192,2014,504.154,2015,593.806,89.652
85194,2014,178.874,2015,178.973,0.099
85195,2014,648.726,2015,760.661,111.935
85196,2014,57.657,2015,58.278,0.621
